id,fecha,hora,velocidad_kmh,rafaga_kmh,direccion,direccion_rafaga
12855,2026-09-08,01:00:00,0.0,0.0,,
12856,2026-09-08,01:15:00,0.0,0.0,,
12857,2026-09-08,01:30:00,0.0,0.0,,
12858,2026-09-08,01:45:00,0.0,0.0,,
12859,2026-09-08,02:00:00,0.0,0.0,,
12860,2026-09-08,02:15:00,0.0,0.0,,
12861,2026-09-08,02:30:00,0.0,0.0,,
12862,2026-09-08,02:45:00,0.0,0.0,,
12863,2026-09-08,03:00:00,0.0,1.6,SW,SSW
12864,2026-09-08,03:15:00,0.0,1.6,SW,SW
12865,2026-09-08,03:30:00,0.0,0.0,,
12866,2026-09-08,03:45:00,0.0,0.0,,
12867,2026-09-08,04:00:00,0.0,0.0,,
12868,2026-09-08,04:15:00,0.0,0.0,,
12869,2026-09-08,04:30:00,0.0,0.0,,
12870,2026-09-08,04:45:00,0.0,0.0,,
12871,2026-09-08,05:00:00,0.0,0.0,,
12872,2026-09-08,05:15:00,0.0,0.0,,
12873,2026-09-08,05:30:00,0.0,0.0,,
12874,2026-09-08,05:45:00,0.0,0.0,,
12875,2026-09-08,06:00:00,0.0,0.0,,
12876,2026-09-08,06:15:00,0.0,0.0,,
12877,2026-09-08,06:30:00,0.0,0.0,,
12878,2026-09-08,06:45:00,0.0,0.0,,
12879,2026-09-08,07:00:00,0.0,0.0,,
12880,2026-09-08,07:15:00,0.0,0.0,,
12881,2026-09-08,07:30:00,0.0,0.0,,
12882,2026-09-08,07:45:00,0.0,0.0,,
12883,2026-09-08,08:00:00,0.0,0.0,,
12884,2026-09-08,08:15:00,0.0,0.0,,
12885,2026-09-08,08:30:00,0.0,3.2,WSW,N
12886,2026-09-08,08:45:00,0.0,1.6,NE,ENE
12887,2026-09-08,09:00:00,0.0,0.0,,
12888,2026-09-08,09:15:00,0.0,3.2,ENE,ENE
12889,2026-09-08,09:30:00,0.0,3.2,E,ENE
12890,2026-09-08,09:45:00,0.0,4.8,E,E
12891,2026-09-08,10:00:00,0.0,3.2,N,N
12892,2026-09-08,10:15:00,0.0,3.2,ESE,NW
12893,2026-09-08,10:30:00,0.0,3.2,NNW,N
12894,2026-09-08,10:45:00,0.0,6.4,NNW,ENE
12895,2026-09-08,11:00:00,0.0,3.2,E,E
12896,2026-09-08,11:15:00,0.0,6.4,E,E
12897,2026-09-08,11:30:00,0.0,4.8,E,E
12898,2026-09-08,11:45:00,0.0,6.4,WSW,WSW
12899,2026-09-08,12:00:00,0.0,8.0,NW,SW
12900,2026-09-08,12:15:00,0.0,4.8,WSW,SW
12901,2026-09-08,12:30:00,1.6,12.9,SW,SW
12902,2026-09-08,12:45:00,1.6,8.0,WSW,WSW
12903,2026-09-08,13:00:00,3.2,12.9,W,WSW
12904,2026-09-08,13:15:00,1.6,4.8,ENE,E
12905,2026-09-08,13:30:00,1.6,11.3,WSW,W
12906,2026-09-08,13:45:00,0.0,9.7,W,W
12907,2026-09-08,14:00:00,1.6,4.8,WNW,E
12908,2026-09-08,14:15:00,1.6,6.4,W,W
12909,2026-09-08,14:30:00,0.0,6.4,W,WSW
12910,2026-09-08,14:45:00,0.0,4.8,WSW,WSW
12911,2026-09-08,15:00:00,0.0,1.6,NNE,NNE
12912,2026-09-08,15:15:00,0.0,1.6,ENE,ENE
12913,2026-09-08,15:30:00,0.0,0.0,,
12914,2026-09-08,15:45:00,0.0,3.2,ENE,ESE
